번호,카테고리,질문,답변
284,선물하기,선물하기 상품의 주문 취소는 어떻게 해야 하나요?,"선물을 받는 사람(수취인)이 아직 선물을 수락하지 않았다면, 일반 상품과 동일하게 마이쿠팡에서 직접 주문을 취소할 수 있습니다. 또는, 선물을 받는 사람(수취인)이 선물을 거절하거나 선물 수락 기한까지 수락하지 않는다면, 주문은 자동으로 취소됩니다. 그러나 선물을 받는 사람(수취인)이 이미 선물을 수락하여 배송이 시작됐다면, 배송 완료 이후에 반품해 주시기 바랍니다. 이 경우 반품 비용이 발생할 수 있습니다. 
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 클릭
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 반품하기 
마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품신청] 클릭
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 만약, 주문자가 아닌 선물을 받는 사람(수취인)이 취소를 원하면 수신한 선물메시지에서 [선물 거절하기]를 클릭해 주세요. 그리고 배송 완료 이후 선물을 받은 사람(수취인)이 교환/반품을 신청하려면 쿠팡 고객센터(1577-7011)로 문의해 주시기 바랍니다."
285,선물하기,선물하기로 주문한 상품은 언제 배송되나요?,"선물하기로 주문한 상품은 선물을 받는 사람(수취인)이 선물을 수락한 뒤에 안내되는 배송예정일까지 배송됩니다.  따라서, 선물을 수락한 일자와 배송지에 따라 각 주문의 배송예정일은 차이가 있습니다. 또한, 도서산간 지역 및 천재지변으로 인해 배송 일정이 변동될 수 있으니, 각 주문의 배송 현황은 아래의 마이쿠팡을 통해 직접 확인해 주시기 바랍니다. (마이쿠팡 선물함은 모바일 앱에서만 이용 가능, PC는 불가)
 선물을 받는 사람(수취인) :
마이쿠팡 → 선물함(받은 선물) → 배송조회
 선물을 보내는 사람(주문자) : 
마이쿠팡 → 주문목록 또는 선물함(보낸 선물) → 배송상태
※ 선물을 보내는 사람(주문자)은 배송상태만 확인할 수 있습니다."
286,와우 멤버십,저의 다음 와우 멤버십 결제일은 언제인가요?,"고객님의 와우 멤버십 다음 결제 예정일은 [마이쿠팡 → 와우멤버십]에서 확인할 수 있습니다.  
 와우 멤버십 월회비는 최근 가입한 일자에 맞춰 매달 결제됩니다. 예를 들어, 1월 1일에 와우 멤버십에 가입했다면 다음 월회비 결제일은 2월 1일입니다. 단, 월회비 결제에 실패하여 멤버십이 일시 중지된 상태라면, 일시 중지 기간 내 다시 결제에 성공한 일자가 고객님의 새로운 월회비 결제일이 됩니다."
287,와우 멤버십,저의 와우 멤버십 결제수단은 무엇인가요?,"와우 멤버십 월회비는 기존에 등록한 쿠페이 결제수단 중 하나로 결제됩니다. 아래의 경로를 통해 직접 등록한 결제수단 확인 및 변경이 가능합니다.
 와우 멤버십 결제수단 확인하기
마이쿠팡 → 와우멤버십 → 결제수단 
 • 기본 결제수단으로 월회비 결제에 실패할 경우, 등록되어 있는 다른 결제수단(쿠페이에 등록된 카드, 계좌, 쿠페이머니, 쿠팡캐시)으로 결제됩니다.
• 개인 명의(기명식) 법인카드는 와우 멤버십의 기본 결제수단으로 설정해야만 해당 카드로 월회비가 결제됩니다.
• 단, 개인 명의(기명식) 법인카드는 와우 멤버십 가입 단계에서는 기본 결제수단으로 설정하더라도 결제가 불가하며, 고객 본인 명의의 다른 결제수단으로 먼저 가입한 후 개인 명의(기명식) 법인카드를 와우 멤버십 기본 결제수단으로 설정해야만 해당 카드로 월회비가 결제됩니다. (변경된 결제수단은 다음 달 월회비 결제일에 적용됩니다.) 
• 일부 해외카드로 와우 멤버십 월회비 결제가 가능하나 쿠팡이츠, 쿠팡플레이 개별구매 콘텐츠 결제는 불가합니다."
288,와우 멤버십,와우 멤버십 결제가 실패되었다는 문자를 받았어요.,"쿠페이 등록된 모든 결제 수단으로 결제 시도 후 실패하면 해당 문자가 발송됩니다. 문자 수신 당일 오후 6시까지 결제 수단이 확인되지 않을 경우 멤버십은 일시 중지되며, 일시 중지 기간에는 멤버십 혜택 이용이 불가하오니, 등록한 결제 수단을 다시 한번 확인해 주시기 바랍니다.
 와우 멤버십 결제 실패 해결하기
• [마이쿠팡 → 와우 멤버십] 메뉴에서 결제수단 확인하기
• 계좌 잔액 확인
• 은행 문의
• 쿠페이에 다른 계좌/카드 등록하기
 와우 멤버십 일시 중지 관련 안내사항
• 와우 멤버십 결제가 실패할 경우, 멤버십을 다시 이용할 수 있도록 매일 결제가 시도됩니다.
• 결제 성공 시, 해당일부터 와우 멤버십이 다시 시작되며, 해당일이 새로운 정기 결제 기준일이 됩니다.
• 일시 중지 기간은 최대 30일이며, 30일 이내에 결제가 성공하지 않을 경우 멤버십은 해지됩니다."
289,결제,토스카드/카카오페이 카드는 어떻게 결제하나요?,"신용/체크카드에서 ‘BC카드’를 선택한 후 [결제하기]를 클릭하면 카드 정보를 입력하여 결제할 수 있습니다.
 단, 토스유스카드는 일반 결제 시 ‘KB국민카드’로 선택하여 결제할 수 있습니다."
290,회수,교환/반품 회수지를 변경하고 싶습니다.,"교환/반품 신청 후
교환/반품 신청을 완료한 후에는 회수지 변경이 불가합니다. 단, 교환/반품이 아직 진행되지 않았다면, 먼저 교환/반품 신청을 철회해 주세요. 그다음 교환/반품을 다시 신청하면서 회수지를 변경하면 됩니다.  
 ※ 교환/반품 철회하기
마이쿠팡 → 취소/반품/교환/환불내역 → 상품선택 → [반품 상세] → [반품 철회]
 교환/반품 신청 전
마이쿠팡에서 교환/반품을 신청할 때, 상품 회수지를 직접 변경할 수 있습니다."
291,인증,로그인 시 여러 번 인증 실패로 새로운 환경에서 이용이 불가합니다.,"새로운 환경에서 여러 번 로그인을 실패하면 고객님의 개인정보를 보호하기 위해 당일 밤 12시까지 로그인이 제한됩니다. 다음 날 0시 이후 다시 로그인을 시도할 수 있습니다. 만약, 본인이 로그인을 시도한 것이 아니라면 쿠팡 고객센터로 문의해 주시기 바랍니다."
292,인증,새로운 기기가 등록되었다는 문자를 받았는데 제가 모르는 기기입니다.,"아래 [회원정보 수정 바로가기]를 클릭한 후 비밀번호와 아이디를 즉시 변경해 주시기 바랍니다.
 회원정보 수정 바로가기 (클릭)"
293,인증,로그인을 할 때 왜 휴대폰/이메일 본인 인증을 해야 하나요?,"로그인을 할 때 본인 인증을 하면 새로운 환경에서의 접속을 알 수 있어 고객님의 개인정보를 보호할 수 있습니다. 본인 인증번호는 휴대폰 문자 또는 이메일로 전송됩니다. 만약 인증 요청 후 인증번호를 받지 못하셨다면, 아래의 내용을 확인해 주시기 바랍니다.
 휴대폰 인증 후 문자를 못 받은 경우
본인의 휴대폰에서 아래의 전화번호가 수신거부 되어있는지 확인 후 해제해 주시기 바랍니다.
• 쿠팡 고객센터 전화번호 : 1577-7011
• 한국모바일인증 전화번호 : 02-2033-8500
 이메일 인증 후 메일을 못 받은 경우
본인의 이메일에서 아래의 메일주소가 스팸처리 되어있는지 확인 후 해제해 주시기 바랍니다.
• noreply@coupang.com
• noreply@e.coupang.com"
294,로켓직구,로켓직구에서 판매하는 상품은 정품이 맞나요?,"네, 로켓직구 상품은 쿠팡이 보증하는 해외 정품이 맞습니다. 단, 해외 현지 국가의 내수용 상품으로 한국으로 공식 수입 및 유통되는 상품과 표지 디자인 또는 포장 방식이 다를 수 있습니다."
295,로켓직구,로켓직구 상품에 소비/유통/사용기한 정보가 없습니다.,"미국 내수용 상품은 ‘소비/유통/사용기한’과 ‘제조일자’를 '상품필수표기정보'에 공시할 의무가 없어, 이를 표기하지 않은 상품들도 있습니다. 해당 정보가 표기되지 않은 상품은 제조사로 문의하셔야 확인할 수 있습니다."
296,쿠페이 신용카드,쿠페이에 등록한 카드를 재발급 받으면 다시 등록해야 하나요?,"네, 카드를 재발급 받으면 카드번호가 변경되기에 다시 등록해야 합니다. [쿠페이 홈 → 결제수단 관리]로 가셔서 기존에 등록된 카드는 삭제해 주시고, 재발급 받은 새 카드를 등록해 주시기 바랍니다. 
 쿠페이 홈 바로가기 (클릭)"
297,쿠페이 신용카드,이미 등록한 카드라고 나옵니다.,"기존에 등록된 카드가 삭제되지 않은 상태에서 다시 등록을 시도하면 이미 등록된 카드라는 알림을 받게 됩니다. 이미 등록된 카드를 먼저 확인한 후 다른 카드를 등록해 주시기 바랍니다. 만약, 문제가 계속 해결되지 않는다면 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다."
298,쿠페이 신용카드,쿠페이에 카드 등록이 안 돼요.,쿠페이는 본인 명의의 카드만 등록 및 사용이 가능합니다. 쿠팡의 회원정보와 등록하려는 카드의 명의자 정보가 일치해야 합니다. 가족카드의 경우에도 본인 명의로 발급된 카드만 등록할 수 있습니다.
299,쿠페이 신용카드,여러 개의 신용카드를 등록할 수 있나요?,"네, 쿠페이 결제수단에 신용카드는 총 13개까지 등록할 수 있습니다.
국내카드는 최대 10개 + 해외카드(일부 카드만 가능)는 최대 3개 = 총 13개
 유의사항
• 해외에서 발급한 카드는 VISA, MASTER, JCB 카드만 등록이 가능합니다.
• 쿠팡에 등록된 회원정보와 동일한 고객 본인 명의의 카드만 등록할 수 있습니다. (본인 인증 실패 시 등록 불가)"
300,쿠페이 계좌이체,계좌 등록이 안 돼요.,등록하는 계좌의 명의자와 휴대폰의 명의자가 동일해야 쿠페이에 계좌 등록이 가능합니다. 쿠페이에 계좌가 등록되지 않는다면 계좌와 휴대폰의 명의자를 확인해 주시기 바랍니다.
301,원터치결제,원터치 결제 사용 및 해제는 어떻게 하나요?,"아래의 메뉴로 이동하여 원터치 결제의 사용/해제 설정을 직접 변경할 수 있습니다. 단, 원터치 결제 기능 설정은 모바일 앱을 통해서만 할 수 있습니다. (PC 웹사이트에서는 설정 불가)
 원터치 결제 사용/해제 설정하기 (모바일 앱) 
마이쿠팡 → 결제수단·쿠페이 → 결제 비밀번호·보안 설정 → 원터치결제 사용 [ON/OFF] 변경"
302,쿠페이,결제를 하지 않았는데 주문이 되었어요.,"아래의 경우에 해당하지 않는지 확인해 주시기 바랍니다.
 [원터치 결제]로 주문한 경우
원터치 결제 사용을 설정한 고객은 일부 상품 결제 시, 별도의 비밀번호 입력 없이 지정된 쿠페이 결제수단으로 즉시 결제가 이루어집니다. 원터치 결제 사용/해제 설정은 쿠팡 모바일 앱 [마이쿠팡 → 결제수단 → 결제 비밀번호∙보안 설정 → 원터치결제 사용]에서 ON/OFF 버튼을 선택하여 변경할 수 있습니다. 단, 원터치 결제를 사용하더라도 추가 확인이 필요한 경우 비밀번호 입력을 요청할 수 있습니다. 
 [밀어서 결제하기]로 주문한 경우
일부 주문을 결제할 때 [밀어서 결제하기] 버튼이 제공되며, 이 버튼을 밀면 별도의 비밀번호 입력 없이 지정된 쿠페이 결제수단으로 즉시 결제가 이루어집니다. [밀어서 결제하기]는 별도의 사용/해제 설정이 불가하며 일부 주문에 자동으로 제공됩니다.
 [쿠팡이츠]에서 주문한 경우
쿠팡이츠에서 주문/결제한 내역이 있는지 쿠팡이츠 모바일 앱 [주문내역]을 확인해 주시기 바랍니다.
 [쿠팡플레이]에서 구매한 경우
쿠팡플레이에서 구매/결제한 내역이 있는지 쿠팡플레이 모바일 앱 [프로필 → 구매내역]을 확인해 주시기 바랍니다."
303,원터치결제,비밀번호 확인 없이 결제가 되었는데 안전한가요?,"쿠팡은 결제 비밀번호 입력 단계를 자체 보안 단계로 대체한 원터치 결제 서비스를 제공합니다. 이는 고객님께서 믿고 거래할 수 있도록 보안 단계를 안전하게 설계하였습니다. 만약, 본인이 결제하지 않은 주문이라면 쿠팡 고객센터(1577-7011)로 바로 연락 주시기 바랍니다."
304,원터치결제,원터치 결제란 어떤 서비스인가요?,"원터치 결제란 고객님께 보다 빠른 결제 경험을 제공하기 위해 쿠페이(계좌이체/머니/신용카드) 결제 과정에서 비밀번호 입력 단계를 쿠팡의 자체 보안 확인 과정으로 대체한 결제 서비스입니다.
 이는 쿠페이(계좌이체/머니/신용카드) 결제수단 선택 후, 결제하기 버튼을 누르는 즉시 결제가 이루어집니다. 단, 쿠팡의 자체 보안 기준에 따라 예외적으로 기존과 동일하게 비밀번호를 요청하는 경우가 있습니다. 이는 고객님의 안전한 거래를 위한 추가 조치입니다."
305,기프트카드,쿠팡 기프트카드는 무엇인가요?,"쿠팡 기프트카드는 쿠팡의 다양한 상품과 편리한 구매 경험을 친구와 가족에게 선물할 수 있는 현금성 온라인 상품권입니다. 쿠팡 기프트카드는 쿠팡 모바일 앱과 제휴된 외부 복지몰에서 구매할 수 있습니다. 기프트카드는 쿠팡캐시로 전환하여 사용할 수 있습니다. 
 기프트카드 쿠팡캐시로 전환하기
마이쿠팡 → 쿠팡캐시∙기프트카드∙제휴포인트 → [기프트카드 등록] 선택"
306,영수증,해외직구나 해외배송상품도 현금영수증을 발행할 수 있나요?,아니요. 해외 사업자는 국내 소득세법이 아닌 해외 현지 국가의 법이 적용되기에 현금영수증 발행이 불가합니다.
